Currency,year,value
Canadian dollar,2009,
Euro,2010,25.7620504615128
Other currencies,2010,4.25733907565019
US dollar,2010,62.2471630942591
Pound sterling,2010,3.94170871037588
French franc,2010,
Dutch guilder,2010,
Japanese yen,2010,3.66314589997761
Swiss franc,2010,0.128592758224421
Australian dollar,2010,
Chinese yuan renminbi,2010,
ECU,2010,
Deutsche mark,2010,
Canadian dollar,2010,
Euro,2011,24.4496072307197
Other currencies,2011,5.32289842712183
US dollar,2011,62.6989064538912
Pound sterling,2011,3.83784298532461
French franc,2011,
Dutch guilder,2011,
Japanese yen,2011,3.61352984280022
Swiss franc,2011,0.0772150601424116
Australian dollar,2011,
Chinese yuan renminbi,2011,
ECU,2011,
Deutsche mark,2011,
Canadian dollar,2011,
Euro,2012,24.0723347941336
Other currencies,2012,3.20443985489082
US dollar,2012,61.4971861445784
Pound sterling,2012,4.04226384553275
French franc,2012,
Dutch guilder,2012,
Japanese yen,2012,4.08907845239632
Swiss franc,2012,0.212705593524521
Australian dollar,2012,1.45624837601078
Chinese yuan renminbi,2012,
ECU,2012,
Deutsche mark,2012,
Canadian dollar,2012,1.42574293893278
Euro,2013,24.2141653081936
Other currencies,2013,2.78497528597406
US dollar,2013,61.2768266454285
Pound sterling,2013,3.98665646410905
French franc,2013,
Dutch guilder,2013,
Japanese yen,2013,3.82401827591431
Swiss franc,2013,0.268448959142551
Australian dollar,2013,1.81628166093002
Chinese yuan renminbi,2013,
ECU,2013,
Deutsche mark,2013,
Canadian dollar,2013,1.82862740030797
Euro,2014,21.2136343636783
Other currencies,2014,2.77986716558088
US dollar,2014,65.172772451152
Pound sterling,2014,3.70189357326328
French franc,2014,
Dutch guilder,2014,
Japanese yen,2014,3.54543602644807
Swiss franc,2014,0.239972403858417
Australian dollar,2014,1.59580029440415
Chinese yuan renminbi,2014,
ECU,2014,
Deutsche mark,2014,
Canadian dollar,2014,1.75062372161484
Euro,2015,19.1478655198229
Other currencies,2015,2.82207137461511
US dollar,2015,65.7485815876911
Pound sterling,2015,4.7168400399058
French franc,2015,
Dutch guilder,2015,
Japanese yen,2015,3.75431503673374
Swiss franc,2015,0.267409242658473
Australian dollar,2015,1.76753003893817
Chinese yuan renminbi,2015,
ECU,2015,
Deutsche mark,2015,
Canadian dollar,2015,1.77538715963477
Euro,2016,19.1382214612891
Other currencies,2016,2.33260074413666
US dollar,2016,65.3603120822643
Pound sterling,2016,4.34621827827916
French franc,2016,
Dutch guilder,2016,
Japanese yen,2016,3.95300571905447
Swiss franc,2016,0.16268281326758
Australian dollar,2016,1.69049661918167
Chinese yuan renminbi,2016,1.07839204936942
ECU,2016,
Deutsche mark,2016,
Canadian dollar,2016,1.93807023315762
Euro,2017,20.1681873371903
Other currencies,2017,2.42877444200748
US dollar,2017,62.7269933869566
Pound sterling,2017,4.54213215782132
