sect_name,t,source,region,sect_group,gvc,traditional,traditional_jpn.x,traditional_jpn.y
12-Electrical and Optical Equipment,1970,wiodlr,AUS,Manufacturing,0.0583259574550931,0.0449384347572688,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,AUT,Manufacturing,1.16913559679482,0.961783951348313,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,BEL,Manufacturing,0.470307402212536,0.412554248038373,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,BRA,Manufacturing,0.0885872906582282,0.111105805837411,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,CAN,Manufacturing,0.428655729820712,0.347865047020564,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,CHN,Manufacturing,0.0649753825959882,0.0965356435134483,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,DEU,Manufacturing,1.36565736968917,1.45489081844716,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,DNK,Manufacturing,1.02874787809851,0.67443093521271,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,ESP,Manufacturing,0.503531749796684,0.285351493954431,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,FIN,Manufacturing,0.292683802477641,0.210273190442539,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,FRA,Manufacturing,0.792456756943954,0.761252181816939,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,GBR,Manufacturing,0.93654547441709,0.97721739408831,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,GRC,Manufacturing,0,0,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,HKG,Manufacturing,3.01347846831081,0.813779456873877,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,IND,Manufacturing,0.151922567800613,0.0818666315274518,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,IRL,Manufacturing,1.11690982296681,0.6407269144635,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,ITA,Manufacturing,1.14574716749684,1.20322135280064,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,JPN,Manufacturing,1.57802113108311,2.02166971467556,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,KOR,Manufacturing,1.48730300834044,0.654888466854083,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,MEX,Manufacturing,1.08244759089915,0.495806322361068,2.02166971467556,2.02166971467556
12-Electrical and Optical Equipment,1970,wiodlr,NLD,Manufacturing,1.3342429051833,1.00914321960929,2.02166971467556,2.02166971467556
